RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,date,dropoff_date,temperature_2m,relative_humidity_2m,rain,snowfall,snow_depth,pressure_msl,wind_speed_100m,wind_direction_100m
,91,165,,0.94,13.95,2.75,0.0,0.0,0.0,0.3,17.0,,2021-07-05 08:00:00+00:00,2021-07-05 08:06:00,52.4408,46.21631,0.2,0.0,0.0,1010.9,7.5170207,286.6993
,235,186,,10.79,35.49,2.75,0.0,0.0,0.0,0.3,38.54,,2021-07-05 08:00:00+00:00,2021-07-05 08:21:00,52.4408,46.21631,0.2,0.0,0.0,1010.9,7.5170207,286.6993
,10,130,,2.34,13.07,2.75,0.0,0.0,0.0,0.3,16.12,,2021-07-05 09:00:00+00:00,2021-07-05 09:10:00,48.9308,56.36832,0.7,0.0,0.0,1013.0,11.367109,280.954
,260,196,,2.72,25.21,2.75,0.0,0.0,0.0,0.3,28.26,,2021-07-19 14:00:00+00:00,2021-07-19 14:09:00,40.200798,78.030685,0.0,0.0,0.0,1012.3,5.2416787,285.94547
,22,25,,5.88,32.95,2.75,0.0,0.0,0.0,0.3,36.0,,2021-07-11 10:00:00+00:00,2021-07-11 10:25:00,46.7708,71.99724,0.5,0.0,0.0,1014.1,13.004921,265.23645
,35,35,,0.09,35.37,1.35,0.0,0.0,13.1,0.3,50.12,,2021-07-31 17:00:00+00:00,2021-07-31 17:03:00,36.4208,67.79216,0.0,0.0,0.0,1014.7,2.9024127,29.744795
,205,130,,2.97,19.7,5.5,0.0,0.0,0.0,0.3,25.5,,2021-07-13 11:00:00+00:00,2021-07-13 11:15:00,39.6608,63.116173,0.0,0.0,0.0,1013.5,12.413477,240.4613
,97,228,,4.75,25.59,2.75,0.0,0.0,0.0,0.3,28.64,,2021-07-13 12:00:00+00:00,2021-07-13 12:28:00,39.3908,61.924423,0.0,0.0,0.0,1014.1,13.202726,258.9965
,181,158,,5.78,22.34,0.0,0.0,6.9,6.55,0.3,38.84,,2021-07-17 11:00:00+00:00,2021-07-17 11:22:00,40.8308,85.670395,3.8,0.0,0.0,1020.8,11.792404,282.33908
,242,182,,1.95,18.59,2.75,0.0,0.0,0.0,0.3,21.64,,2021-07-07 11:00:00+00:00,2021-07-07 11:14:00,44.4308,73.03671,0.0,0.0,0.0,1018.1,5.692099,55.304783
,123,133,,2.37,22.45,2.75,0.0,0.0,0.0,0.3,25.5,,2021-07-29 20:00:00+00:00,2021-07-29 20:11:00,39.0308,83.74419,0.0,0.0,0.0,1013.2,6.151683,249.44386
,87,198,,8.74,34.73,2.75,0.0,0.0,0.0,0.3,37.78,,2021-07-21 23:00:00+00:00,2021-07-21 23:38:00,26.7908,95.63054,0.0,0.0,0.0,1011.7,4.379589,170.53775
,217,165,,6.94,35.4,2.75,0.0,0.0,0.0,0.3,38.45,,2021-07-05 09:00:00+00:00,2021-07-05 09:45:00,48.9308,56.36832,0.7,0.0,0.0,1013.0,11.367109,280.954
,259,69,,7.66,31.31,2.75,0.0,0.0,0.0,0.3,34.36,,2021-07-15 10:00:00+00:00,2021-07-15 10:22:00,45.4208,58.351383,0.1,0.0,0.0,1013.9,11.966954,285.7087
,92,35,,0.0,45.2,2.75,0.0,0.0,0.0,0.3,48.25,,2021-07-31 18:00:00+00:00,2021-07-31 18:38:00,32.4608,78.79072,0.0,0.0,0.0,1014.3,5.1165614,50.710617
,7,223,,0.93,13.2,0.0,0.0,3.0,0.0,0.3,16.5,,2021-07-13 12:00:00+00:00,2021-07-13 12:05:00,39.3908,61.924423,0.0,0.0,0.0,1014.1,13.202726,258.9965
,136,213,,5.83,32.95,2.75,0.0,0.0,0.0,0.3,36.0,,2021-07-02 13:00:00+00:00,2021-07-02 13:26:00,38.5808,88.96581,0.1,0.0,0.0,1015.5,4.3349743,85.23644
,161,227,,12.03,26.44,2.75,0.0,0.0,6.55,0.3,36.04,,2021-07-02 13:00:00+00:00,2021-07-02 13:47:00,38.5808,88.96581,0.1,0.0,0.0,1015.5,4.3349743,85.23644
,14,39,,14.88,33.21,2.75,0.0,0.0,0.0,0.3,36.26,,2021-07-02 13:00:00+00:00,2021-07-02 13:30:00,38.5808,88.96581,0.1,0.0,0.0,1015.5,4.3349743,85.23644
,182,39,,19.94,48.53,2.75,0.0,0.0,6.55,0.3,58.13,,2021-07-17 12:00:00+00:00,2021-07-17 12:59:00,40.290802,98.26726,0.3,0.0,0.0,1021.5,9.227524,290.55612
